"","komitet","procent"
"1","Liczba wyborców",333
"2","Liczba kart oddanych",168
"3","Liczba głosów ważnych",126
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.05
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",61.11
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.79
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",3.17
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",8.73
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.79
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.79
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.79
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.38
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",2.38
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
