"","komitet","procent"
"1","Liczba wyborców",397
"2","Liczba kart oddanych",235
"3","Liczba głosów ważnych",197
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.69
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",42.64
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",5.08
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.35
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.52
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",4.06
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.51
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.03
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.52
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.02
"16","KOMITET WYBORCZY LEWICA",0.51
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.52
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.51
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.51
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",2.54
