"","komitet","procent"
"1","Liczba wyborców",442
"2","Liczba kart oddanych",175
"3","Liczba głosów ważnych",151
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.93
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",55.63
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",13.91
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.89
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.32
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.66
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.66
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.66
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.66
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.66
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
