"","komitet","procent"
"1","Liczba wyborców",377
"2","Liczba kart oddanych",82
"3","Liczba głosów ważnych",78
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.23
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.85
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",2.56
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",48.72
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.23
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.28
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.28
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.28
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.28
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.28
