"","komitet","procent"
"1","Liczba wyborców",2192
"2","Liczba kart oddanych",1043
"3","Liczba głosów ważnych",897
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",18.28
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",30.88
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.33
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",20.96
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.95
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.45
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.56
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.56
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.11
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.11
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.33
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.57
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.45
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.67
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.78
