"","komitet","procent"
"1","Liczba wyborców",2174
"2","Liczba kart oddanych",1024
"3","Liczba głosów ważnych",891
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",6.29
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",9.32
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.9
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",35.47
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",31.99
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.67
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.36
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.11
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.56
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.81
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.45
"16","KOMITET WYBORCZY LEWICA",0.67
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",4.83
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.45
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.46
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.68
