"","komitet","procent"
"1","Liczba wyborców",841
"2","Liczba kart oddanych",395
"3","Liczba głosów ważnych",305
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.97
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",25.57
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.64
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",26.89
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",10.49
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.98
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.97
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.66
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.66
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.31
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.64
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.33
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.61
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.64
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.66
