"","komitet","procent"
"1","Liczba wyborców",1301
"2","Liczba kart oddanych",568
"3","Liczba głosów ważnych",463
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.96
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",55.08
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.65
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",9.07
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",13.82
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.08
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.16
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.86
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.73
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.3
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.86
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.43
