"","komitet","procent"
"1","Liczba wyborców",737
"2","Liczba kart oddanych",282
"3","Liczba głosów ważnych",225
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",2.67
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",59.11
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",9.33
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.11
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.44
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.33
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.44
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.44
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.89
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.78
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.44
