"","komitet","procent"
"1","Liczba wyborców",495
"2","Liczba kart oddanych",295
"3","Liczba głosów ważnych",229
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.85
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",61.57
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.87
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",5.68
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",12.23
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.87
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.44
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.87
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.87
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.44
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.44
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.87
