"","komitet","procent"
"1","Liczba wyborców",251
"2","Liczba kart oddanych",132
"3","Liczba głosów ważnych",100
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",50
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",5
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",16
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",3
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",4
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",3
