"","komitet","procent"
"1","Liczba wyborców",1293
"2","Liczba kart oddanych",701
"3","Liczba głosów ważnych",516
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",20.35
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",41.28
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.36
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",10.47
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.31
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.97
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.55
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.55
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.39
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.97
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.39
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.1
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.19
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.19
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.94
