"","komitet","procent"
"1","Liczba wyborców",1621
"2","Liczba kart oddanych",709
"3","Liczba głosów ważnych",544
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.05
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",63.24
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.55
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",6.43
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",11.58
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.92
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.18
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.18
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.55
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.74
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.29
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.1
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.18
