"","komitet","procent"
"1","Liczba wyborców",1051
"2","Liczba kart oddanych",665
"3","Liczba głosów ważnych",555
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.15
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",50.09
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.08
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.47
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.12
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.16
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.18
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.08
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.36
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.16
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.98
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.18
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.18
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.8
