"","komitet","procent"
"1","Liczba wyborców",439
"2","Liczba kart oddanych",317
"3","Liczba głosów ważnych",235
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.66
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",54.04
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.28
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",7.23
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",14.89
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.28
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.98
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.85
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.13
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",2.55
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",4.26
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.85
