"","komitet","procent"
"1","Liczba wyborców",1111
"2","Liczba kart oddanych",594
"3","Liczba głosów ważnych",434
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",18.43
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",47
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.38
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",5.3
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.97
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.69
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.15
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.53
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.46
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.38
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.46
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.15
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.69
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.46
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.92
