"","komitet","procent"
"1","Liczba wyborców",821
"2","Liczba kart oddanych",405
"3","Liczba głosów ważnych",312
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.74
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",36.22
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.92
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.01
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.4
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.32
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.96
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.28
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",5.45
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",2.24
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.28
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.32
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.32
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.92
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.6
