"","komitet","procent"
"1","Liczba wyborców",867
"2","Liczba kart oddanych",566
"3","Liczba głosów ważnych",434
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.99
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",53.69
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.92
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",19.35
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",9.68
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.23
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.38
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.15
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.46
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.69
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.92
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.92
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.15
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.46
