"","komitet","procent"
"1","Liczba wyborców",268
"2","Liczba kart oddanych",180
"3","Liczba głosów ważnych",132
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.91
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",29.55
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",2.27
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",10.61
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",28.79
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.76
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",3.79
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.76
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.27
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.76
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.52
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.27
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.76
