"","komitet","procent"
"1","Liczba wyborców",704
"2","Liczba kart oddanych",480
"3","Liczba głosów ważnych",340
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.53
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",55
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.88
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.82
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.59
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.59
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.59
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.59
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.29
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.88
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.35
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.29
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.29
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.29
