"","komitet","procent"
"1","Liczba wyborców",1820
"2","Liczba kart oddanych",773
"3","Liczba głosów ważnych",773
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.31
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",9.06
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.29
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",36.35
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",29.5
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.26
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.07
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.26
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.26
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.16
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.36
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.52
"16","KOMITET WYBORCZY LEWICA",0.91
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.65
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",3.49
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.91
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.65
