"","komitet","procent"
"1","Liczba wyborców",1840
"2","Liczba kart oddanych",1062
"3","Liczba głosów ważnych",784
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",26.02
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",13.27
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.89
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",26.66
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",21.68
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.64
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.64
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.26
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.89
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.38
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.53
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.51
"16","KOMITET WYBORCZY LEWICA",0.51
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.79
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.77
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.53
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.04
