"","komitet","procent"
"1","Liczba wyborców",2187
"2","Liczba kart oddanych",1152
"3","Liczba głosów ważnych",1030
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.71
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",19.22
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.49
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",34.76
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.79
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.29
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",3.11
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.1
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.87
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.78
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.62
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.19
"16","KOMITET WYBORCZY LEWICA",0.1
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.58
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.68
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.78
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.94
