"","komitet","procent"
"1","Liczba wyborców",2155
"2","Liczba kart oddanych",973
"3","Liczba głosów ważnych",890
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.47
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",9.89
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.34
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",45.73
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.44
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.11
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.01
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.11
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.22
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.12
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.94
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.79
"16","KOMITET WYBORCZY LEWICA",0.34
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.01
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.22
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.22
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.02
