"","komitet","procent"
"1","Liczba wyborców",1017
"2","Liczba kart oddanych",534
"3","Liczba głosów ważnych",450
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.22
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",15.78
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.89
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",22.67
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",32
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.22
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.89
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.89
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.44
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.44
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.44
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.67
"16","KOMITET WYBORCZY LEWICA",0
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",11.78
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.89
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.11
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.67
