"","komitet","procent"
"1","Liczba wyborców",705
"2","Liczba kart oddanych",376
"3","Liczba głosów ważnych",290
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.79
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",59.31
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.03
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",0.69
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.24
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.34
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.34
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.69
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.34
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.76
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.69
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.03
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.03
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.69
