"","komitet","procent"
"1","Liczba wyborców",816
"2","Liczba kart oddanych",436
"3","Liczba głosów ważnych",319
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.03
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",36.68
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",31.03
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.99
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.94
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.94
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.94
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.63
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.25
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.63
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.63
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.31
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
