"","komitet","procent"
"1","Liczba wyborców",1151
"2","Liczba kart oddanych",541
"3","Liczba głosów ważnych",436
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.93
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",15.14
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.92
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",32.34
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.15
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.69
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.92
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.23
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.46
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",4.59
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.61
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.46
"16","KOMITET WYBORCZY LEWICA",0.23
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.92
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.23
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.92
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.29
