"","komitet","procent"
"1","Liczba wyborców",1269
"2","Liczba kart oddanych",726
"3","Liczba głosów ważnych",568
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.45
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",76.94
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.35
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",2.46
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",7.92
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.88
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.35
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.7
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.18
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.53
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.23
