"","komitet","procent"
"1","Liczba wyborców",1976
"2","Liczba kart oddanych",878
"3","Liczba głosów ważnych",813
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.84
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",5.04
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.37
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",34.44
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",37.27
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.98
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.25
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.25
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",6.64
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.49
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.34
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.12
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.62
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.35
