"","komitet","procent"
"1","Liczba wyborców",1249
"2","Liczba kart oddanych",621
"3","Liczba głosów ważnych",567
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",20.81
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",30.69
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.18
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",22.4
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.75
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.18
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.18
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.35
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.41
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.29
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.88
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.88
