"","komitet","procent"
"1","Liczba wyborców",1561
"2","Liczba kart oddanych",859
"3","Liczba głosów ważnych",758
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",24.67
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.88
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.53
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",45.91
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",13.59
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.79
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.13
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.66
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.03
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.45
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.58
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.4
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.37
