"","komitet","procent"
"1","Liczba wyborców",2104
"2","Liczba kart oddanych",1306
"3","Liczba głosów ważnych",1066
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.07
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",12.01
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.69
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",29.74
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.2
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.28
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.03
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",4.6
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.94
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.47
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.75
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.38
"16","KOMITET WYBORCZY LEWICA",0.56
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.47
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.84
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.75
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.22
