"","komitet","procent"
"1","Liczba wyborców",1157
"2","Liczba kart oddanych",519
"3","Liczba głosów ważnych",462
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.85
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",5.41
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.87
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",40.04
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.73
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.08
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.38
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.43
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.52
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.38
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.22
"16","KOMITET WYBORCZY LEWICA",0.22
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",6.93
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.65
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.65
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.65
