"","komitet","procent"
"1","Liczba wyborców",2008
"2","Liczba kart oddanych",1044
"3","Liczba głosów ważnych",877
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.87
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",45.84
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.48
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",17.45
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.95
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.57
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.71
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.11
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.46
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.03
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.46
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.34
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.91
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.14
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.68
