"","komitet","procent"
"1","Liczba wyborców",1765
"2","Liczba kart oddanych",969
"3","Liczba głosów ważnych",919
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.67
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.37
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.11
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",38.41
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",32.75
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.09
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.76
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.54
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.79
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.11
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.2
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.22
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.98
