"","komitet","procent"
"1","Liczba wyborców",1560
"2","Liczba kart oddanych",582
"3","Liczba głosów ważnych",540
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.81
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.33
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.37
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",38.7
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.67
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.3
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.37
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.74
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",6.67
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.19
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.56
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.19
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.37
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.74
