"","komitet","procent"
"1","Liczba wyborców",1689
"2","Liczba kart oddanych",711
"3","Liczba głosów ważnych",657
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.07
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.87
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.15
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",38.81
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",34.09
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.91
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.61
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.61
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.44
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.52
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.15
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.76
