"","komitet","procent"
"1","Liczba wyborców",2271
"2","Liczba kart oddanych",950
"3","Liczba głosów ważnych",894
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.44
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.91
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.67
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",36.8
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",29.98
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.01
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.78
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.67
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.57
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.34
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.57
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.8
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.46
