"","komitet","procent"
"1","Liczba wyborców",899
"2","Liczba kart oddanych",441
"3","Liczba głosów ważnych",397
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.14
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",5.04
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.76
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",40.05
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.43
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.26
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",2.77
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.27
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.76
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.76
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.25
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.52
