"","komitet","procent"
"1","Liczba wyborców",1716
"2","Liczba kart oddanych",821
"3","Liczba głosów ważnych",686
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.79
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",7.58
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.31
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",22.89
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",37.76
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",2.92
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.04
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.73
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.29
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.02
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.9
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.44
"16","KOMITET WYBORCZY LEWICA",0.15
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",5.69
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.44
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.31
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.77
