"","komitet","procent"
"1","Liczba wyborców",1048
"2","Liczba kart oddanych",472
"3","Liczba głosów ważnych",441
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.65
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.17
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",51.02
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.49
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.23
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.95
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.23
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.23
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.68
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.36
