"","komitet","procent"
"1","Liczba wyborców",928
"2","Liczba kart oddanych",514
"3","Liczba głosów ważnych",482
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.5
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.9
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.41
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.81
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.84
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.62
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.41
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.41
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",8.09
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.21
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.7
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.21
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.21
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.66
