"","komitet","procent"
"1","Liczba wyborców",2263
"2","Liczba kart oddanych",1081
"3","Liczba głosów ważnych",1014
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.31
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.27
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.69
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",54.24
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.93
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.99
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.3
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.79
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.16
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.49
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.47
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.79
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.58
