"","komitet","procent"
"1","Liczba wyborców",1147
"2","Liczba kart oddanych",543
"3","Liczba głosów ważnych",510
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.51
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.73
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.39
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",60.59
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",13.73
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.59
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.2
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.76
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.39
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.94
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.39
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.78
