"","komitet","procent"
"1","Liczba wyborców",1495
"2","Liczba kart oddanych",631
"3","Liczba głosów ważnych",593
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.01
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.7
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.18
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",38.79
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",34.06
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.51
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.34
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.84
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.19
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.51
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.35
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.51
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.02
