"","komitet","procent"
"1","Liczba wyborców",744
"2","Liczba kart oddanych",462
"3","Liczba głosów ważnych",338
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.68
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",61.24
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.48
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",4.73
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",12.43
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.18
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.89
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.3
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.3
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.18
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.59
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
