"","komitet","procent"
"1","Liczba wyborców",2021
"2","Liczba kart oddanych",926
"3","Liczba głosów ważnych",875
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",27.31
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.63
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.57
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.03
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.97
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.23
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.34
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.34
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.86
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.11
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.57
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.46
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.57
