"","komitet","procent"
"1","Liczba wyborców",1241
"2","Liczba kart oddanych",555
"3","Liczba głosów ważnych",522
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.62
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.53
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.57
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.95
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",29.89
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.57
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.19
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.96
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.11
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.38
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.53
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.38
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.3
