"","komitet","procent"
"1","Liczba wyborców",1805
"2","Liczba kart oddanych",1046
"3","Liczba głosów ważnych",1017
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.52
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.26
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.69
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",49.66
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.14
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.97
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.18
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.49
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.54
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.39
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.98
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.69
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.49
