"","komitet","procent"
"1","Liczba wyborców",1545
"2","Liczba kart oddanych",743
"3","Liczba głosów ważnych",703
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.05
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.55
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.14
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.98
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",28.17
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.14
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.43
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.43
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.98
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.28
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.85
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.85
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.14
