"","komitet","procent"
"1","Liczba wyborców",1949
"2","Liczba kart oddanych",976
"3","Liczba głosów ważnych",937
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",23.91
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.03
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.75
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",42.48
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.52
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.43
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.32
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.16
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.64
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.17
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.6
