"","komitet","procent"
"1","Liczba wyborców",2106
"2","Liczba kart oddanych",957
"3","Liczba głosów ważnych",923
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",24.59
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.17
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.22
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",39.65
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.57
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.43
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.54
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.36
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.11
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.08
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.87
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.41
