"","komitet","procent"
"1","Liczba wyborców",2297
"2","Liczba kart oddanych",1139
"3","Liczba głosów ważnych",1063
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.27
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.07
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.47
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",50.8
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.67
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.28
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.19
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.56
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.48
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.09
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.51
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.38
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.22
