"","komitet","procent"
"1","Liczba wyborców",1976
"2","Liczba kart oddanych",900
"3","Liczba głosów ważnych",837
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",23.78
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.27
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.6
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",39.19
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.89
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.72
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.72
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.94
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.12
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.99
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.72
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.08
