"","komitet","procent"
"1","Liczba wyborców",1987
"2","Liczba kart oddanych",823
"3","Liczba głosów ważnych",777
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",18.92
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.99
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.03
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.96
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.84
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.29
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.13
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.13
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.12
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.77
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.29
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.54
