"","komitet","procent"
"1","Liczba wyborców",1383
"2","Liczba kart oddanych",725
"3","Liczba głosów ważnych",688
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",22.24
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.03
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.15
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",42.88
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.98
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.58
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.58
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.36
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.29
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.31
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.15
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.45
