"","komitet","procent"
"1","Liczba wyborców",2166
"2","Liczba kart oddanych",1095
"3","Liczba głosów ważnych",1058
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",24.76
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.17
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.47
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",43.19
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.96
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.32
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.04
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.67
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.19
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.42
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.38
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.42
