"","komitet","procent"
"1","Liczba wyborców",1148
"2","Liczba kart oddanych",629
"3","Liczba głosów ważnych",601
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.97
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.17
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",47.75
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.29
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.33
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.67
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.17
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.16
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.83
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.67
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1
