"","komitet","procent"
"1","Liczba wyborców",1478
"2","Liczba kart oddanych",715
"3","Liczba głosów ważnych",668
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.37
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",7.34
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.6
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",43.56
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.6
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.45
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.95
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.75
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.04
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.95
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.75
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.65
