"","komitet","procent"
"1","Liczba wyborców",685
"2","Liczba kart oddanych",375
"3","Liczba głosów ważnych",282
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.51
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",38.65
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.16
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",31.56
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.71
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.42
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",2.13
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.06
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.71
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.35
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",5.67
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.06
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
