"","komitet","procent"
"1","Liczba wyborców",1161
"2","Liczba kart oddanych",748
"3","Liczba głosów ważnych",568
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.8
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",13.91
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.06
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",32.39
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.88
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.58
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.46
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.18
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.41
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.06
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.94
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.53
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.76
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.06
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.99
