"","komitet","procent"
"1","Liczba wyborców",563
"2","Liczba kart oddanych",394
"3","Liczba głosów ważnych",315
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.52
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",69.21
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.63
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",2.86
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",9.21
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.95
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.59
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.32
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.32
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.32
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.32
"16","KOMITET WYBORCZY LEWICA",0.63
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.63
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.22
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",1.27
