"","komitet","procent"
"1","Liczba wyborców",957
"2","Liczba kart oddanych",630
"3","Liczba głosów ważnych",459
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.68
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",40.31
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.31
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",11.33
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.02
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.22
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.09
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.65
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.44
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.44
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.44
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.65
"16","KOMITET WYBORCZY LEWICA",0.44
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.09
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.44
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.65
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.83
